"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0031647","regulation of protein stability","37/878","275/23210",2.23124596483779e-11,1.12276296950637e-07,9.44404213117131e-08,"Rtn4/Atp1b1/Qrsl1/Rps7/Aak1/Hsp90aa1/Fbxw11/Cct4/Prnp/Derl1/Gsn/Vps35/Cct5/Usp9x/March7/Cct2/Pdcd10/Chfr/Rpl23/Usp7/Pfn2/Rnf128/Sumo1/Hspd1/Ube2b/Cmtm6/Tardbp/Lamp2/Hypk/Stk3/Hip1r/Lmna/Cdk7/Hcfc1/Src/Ahsp/Afm",37
"BP","GO:2001233","regulation of apoptotic signaling pathway","46/878","414/23210",7.06132477403036e-11,1.77662931314604e-07,1.49439931138821e-07,"Ivns1abp/Pmp22/Rps7/Zmynd11/Fem1b/Ddx3x/Higd1a/Pttg1ip/Hsph1/Ctnna1/Dnaja1/Nrp1/Sod2/Gsn/Nono/Ctnnb1/P4hb/March7/Vdac2/Ptpn2/Gnai2/Igbp1/Serinc3/Hnrnpk/Skil/Rnf34/Flcn/Prdx2/Itga6/Mcl1/Selenos/Sh3glb1/Gclc/Becn1/Stk3/Sh3rf1/Inca1/Rnf183/Hip1r/Lmna/Zfp385a/Itgav/Ndufa13/Phip/Src/Pcgf2",46
"BP","GO:2001234","negative regulation of apoptotic signaling pathway","31/878","231/23210",9.98758181688055e-10,1.67525039008476e-06,1.4091251398483e-06,"Ivns1abp/Zmynd11/Ddx3x/Higd1a/Pttg1ip/Hsph1/Ctnna1/Dnaja1/Nrp1/Sod2/Nono/Ctnnb1/March7/Vdac2/Gnai2/Igbp1/Rnf34/Prdx2/Itga6/Mcl1/Selenos/Sh3glb1/Gclc/Sh3rf1/Lmna/Zfp385a/Itgav/Ndufa13/Phip/Src/Pcgf2",31
"BP","GO:0050821","protein stabilization","25/878","169/23210",5.59310961168718e-09,7.03613189150247e-06,5.9183930917353e-06,"Rtn4/Atp1b1/Rps7/Aak1/Hsp90aa1/Cct4/Cct5/Usp9x/March7/Cct2/Pdcd10/Rpl23/Usp7/Pfn2/Sumo1/Hspd1/Ube2b/Lamp2/Hypk/Stk3/Hip1r/Cdk7/Hcfc1/Ahsp/Afm",25
"BP","GO:2001242","regulation of intrinsic apoptotic signaling pathway","24/878","169/23210",2.53750324626355e-08,2.55374326703963e-05,2.14806327436331e-05,"Ivns1abp/Rps7/Ddx3x/Pttg1ip/Hsph1/Dnaja1/Sod2/Nono/P4hb/March7/Vdac2/Ptpn2/Serinc3/Hnrnpk/Skil/Flcn/Mcl1/Selenos/Sh3glb1/Becn1/Rnf183/Zfp385a/Ndufa13/Src",24
"BP","GO:0008380","RNA splicing","37/878","364/23210",5.48959719719461e-08,4.60394218271388e-05,3.87257374209114e-05,"Malat1/Zranb2/Ivns1abp/Ddx5/Hnrnpa2b1/Luc7l3/Qk/Clk1/Ik/Mbnl1/Hnrnpa3/Prpf4b/Snrpg/Hnrnpu/Snrpa1/Nono/Dhx15/Ddx39/Srsf3/Pabpc1/Thoc7/Hnrnpk/Sf3b6/Bcas2/Thoc1/Sf3b1/Rps13/Ppp1r8/Tardbp/Luc7l2/Hnrnph1/Rbm10/Ncbp2/Rbm28/Smu1/Scaf11/Prmt7",37
"BP","GO:0010256","endomembrane system organization","38/878","384/23210",7.36216685702839e-08,5.29234623208098e-05,4.45161998979115e-05,"Ndrg1/Tmed2/Ubxn2a/Rtn4/Csnk1d/Rab5a/Vps4b/Wasl/Ccdc47/Cdc42/Sptbn1/Serpine2/Gsn/Vmp1/Csnk1a1/Atp2a2/Pdcd10/Trip11/Srgn/Tmem33/Vamp4/Rtn3/Tmed10/Atl2/Rab1a/Rab10/Tardbp/Golph3/Sh3glb1/Als2/Agfg1/Dnm2/Sh3gl2/Lmna/Zfp385a/Jagn1/Stx18/Cdk1",38
"BP","GO:0006403","RNA localization","23/878","172/23210",1.52070821749231e-07,9.56525468802662e-05,8.04574702965338e-05,"Hnrnpa2b1/Tomm20/Qk/G3bp2/Cct4/Cetn2/Hnrnpa3/Hnrnpu/Ddx39/Srsf3/Cct2/Thoc7/Nup85/Zc3h11a/Xpo7/Riok2/Thoc1/Pom121/Ncbp2/Yy1/Poldip3/Zfp385a/Fbl",23
"BP","GO:0006163","purine nucleotide metabolic process","41/878","447/23210",1.82090704564543e-07,9.72863715825546e-05,8.18317505090478e-05,"Atp1b1/Oga/Sucla2/Cox7a2l/Atp5c1/Acsl1/Atp5a1/Far1/Atp5h/App/Dlat/Ndufs6/Cycs/Acsl6/Scp2/Hprt/Paics/Adcy9/Adk/Sdha/Cs/Adcy2/Pdha1/Pdhb/Flcn/Atp5j/Coq9/Pdk1/Ndufv2/Ldha/Pank3/Uqcrb/Gphn/Gpat4/Gadd45gip1/Mocs1/Ak4/Nudt5/Atp5j2/Cdk1/Myh7",41
"BP","GO:0006397","mRNA processing","41/878","448/23210",1.93335396626698e-07,9.72863715825546e-05,8.18317505090478e-05,"Malat1/Zranb2/Ddx5/Hnrnpa2b1/Luc7l3/Qk/Ik/Mbnl1/Fip1l1/App/Hnrnpa3/Prpf4b/Snrpg/Grsf1/Hnrnpu/Snrpa1/Nono/Dhx15/Ddx39/Srsf3/Pabpc1/Pcbp1/Thoc7/Hnrnpk/Sf3b6/Bcas2/Thoc1/Sf3b1/Ppp1r8/Tardbp/Cstf3/Luc7l2/Hnrnph1/Rbm10/Ncbp2/Rbm28/Smu1/Scaf11/Prmt7/Adarb2/Ccnt1",41
