"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0007005","mitochondrion organization","141/3241","459/23210",9.20069059762282e-21,5.73111017325926e-17,3.32677602135099e-17,"Cd24a/Gdap1/Hsp90aa1/Vdac1/Ndufc1/Hebp2/Uqcrb/Bcl2l11/Higd1a/Ppargc1a/Fundc1/Tomm7/Hif1a/Dnajc15/Ndufs4/Slc25a4/Fbxw7/Atf2/Ndufa1/Slc25a5/Vps35/Tomm70a/Agk/Hspd1/Slc25a46/Ccar2/Ndufaf4/Dnm1l/Ywhaz/Ppif/Mllt11/Sod2/Wdr45b/Mrpl15/Mtch2/Lig3/Slc25a33/Mff/Cox17/Synj2bp/Ndufab1/Chchd4/Fundc2/Cdk5/Mfn2/Cox18/Supv3l1/Agtpbp1/Grpel2/Rb1cc1/Rrm2b/Fancg/Bad/Moap1/Golph3/Ttc19/Tomm22/Ulk1/Hap1/Stat3/Prelid1/Letm1/Nptx1/Mapt/Plaur/Atg12/Pde2a/Rnf41/Nrf1/Hip1r/Mtfr1/Maip1/Timm22/Acad9/Mtfr1l/Atp13a2/Yme1l1/Sesn2/Dnaja3/Fxn/Rab3a/Dhodh/Cttn/Chchd6/Uqcc3/Grpel1/Dmac1/Myh14/Cox19/Miga2/Htt/Trem2/Coa3/Sh3glb1/Hmgcl/Phb2/Tnfsf10/Ndufb2/Ndufs8/Arrb2/Gsk3b/Ndufs5/Gsk3a/Micos13/Gba/Siva1/Cep89/Ndufa2/Ndufs7/Vat1/Hsd17b10/Immp2l/Tomm40l/Pnp/Lonp1/Timm50/Park7/Atp5d/Atad3a/Ndufb10/Cnp/Timm13/Mcl1/Atcay/Fis1/Gpx1/Kat2a/Htra2/Atg5/Dnajc11/Samm50/Cox7a1/Timm44/Poldip2/Phb/Srebf1/Sharpin/Pycard/Tspo/Lmna/Sept4",141
"BP","GO:0031346","positive regulation of cell projection organization","137/3241","466/23210",2.29971033332048e-18,7.16244783312665e-15,4.15763420787151e-15,"Cd24a/Hsp90aa1/Cntn1/Eif4g2/Rap1a/Gpm6a/Eif2b2/Serpini1/Akirin1/Caprin1/Snap91/Dpysl3/Sept7/Cdc42/Hnrnpk/Rtn4/Map1b/Tmem30a/Kat2b/Rit2/Nefl/Def8/Nrp1/Dnm1l/Golga4/Eps8l2/Vamp7/Pafah1b1/Lif/Actr2/Ndrg4/Ranbp1/Itgb1/Cpeb3/Qk/Dmd/Bdnf/Src/Ptprd/Fmr1/Wasl/Nfe2l2/Map2k1/Itsn2/Crp/Pak1/Skil/Kit/Adam17/Atp8a2/Rufy3/Fes/Rab21/Tenm3/Hap1/Cdc42ep3/Ins2/Mapt/Stk24/Amigo1/Nck1/Dnm2/Cnr1/Adamts1/Mark2/Bmp7/Pak3/Rac2/Lrp8/Fbxw8/Braf/Entr1/Bcl11a/Cpne6/Plxna2/Crabp2/Fxn/Map2k2/Dnm3/Sphk1/Scn1b/Neu1/Htt/Crocc/Ehd1/Ntn1/Sh3glb1/Psen1/Agrn/Rapgef1/Grin1/Iqgap1/Hspb1/Apbb1/Nr3c1/Syt3/Tgfbr1/Ltk/Camk1d/Eps8l1/Cux1/Enpp2/Ntrk2/Shank3/Gsk3b/Fyn/Trpv2/Rnd2/Sema4d/Kdm1a/Lrp1/Kctd17/Ppp2r5b/Stk11/Mapkapk5/Coro1c/Dynlt1b/Grn/Cfl1/Sema7a/Mif/Atp5g1/Eef1a1/Pqbp1/Fscn1/Ache/Rnf157/Anapc2/Kat2a/Ptprf/Sept9/Mien1/Pacsin1/Agt/Mark4/Apoe/Cdc42ep4",137
"BP","GO:1901214","regulation of neuron death","112/3241","368/23210",1.95077443589055e-16,4.05045798705408e-13,2.35119655694177e-13,"Npm1/Snx6/Bcl2l11/Ppargc1a/Retreg1/Cdc42/Hif1a/Hsph1/Fbxw7/Atf2/Nefl/Ctnnb1/Ghr/Xiap/Vps35/Nrp1/Rilpl1/Hspd1/Nae1/Btbd10/Cd200/Jak2/Sod2/Bdnf/Fmr1/Mapk8/Casp2/Ube2m/Egln3/Egln1/Cdk5/Map2k7/Star/Tsc1/Lancl1/Adora2a/Cx3cr1/Bad/Pdpk1/Cdk5r1/Fcgr2b/Foxo3/Map3k11/Stat3/Mapt/Tnf/Csf1/Daxx/Pak3/Ralbp1/Creb1/Csf3/Braf/Il10/Trim2/Atf4/Rhoa/Egln2/Hrk/Htt/G6pdx/Sct/Coro1a/Hdac1/Ppp5c/Pm20d1/Psen1/Agrn/Grin1/Tnfrsf1a/Nqo2/Msh2/Pawr/Chl1/Srpk2/Nr3c1/Gpi1/Gfer/Arrb2/Nes/Cln3/Ntrk2/Hipk2/Crlf1/Gsk3b/Fyn/Clu/Gsk3a/Gba/Mag/Ddit3/Nsmf/Lrp1/Park7/C1qa/Stxbp1/Mcl1/Fis1/Dtnbp1/Grn/Tmem259/Atp5g1/Smo/Erbb3/Ptprf/Prdx2/Agt/Aars/Apoe/Mt1/Tyrobp/Ctsz",112
"BP","GO:0001558","regulation of cell growth","124/3241","431/23210",5.94426837791496e-16,8.22960717565065e-13,4.77709536013384e-13,"Taf9/Igfbp5/Npm1/Eif4g2/Eif2b2/Pttg1/Hnrnpk/Rtn4/Map1b/Bcl6/Epb41l3/Slc25a4/Xbp1/Adam10/Creb3/Nrp1/Tomm70a/Apbb2/Ncoa3/Ccar2/Golga4/Igfbp4/Pafah1b1/Sertad3/Bdnf/Slc25a33/Sema3a/Mtpn/Rbbp7/Sesn1/Smad4/Itsn2/Sdcbp/Pak1/Col14a1/Cdk5/Supv3l1/Adam17/Rufy3/Bap1/Acvr1b/Brat1/Frzb/Cdk5r1/Rab21/St7l/Il9/Exosc2/Ulk1/Ulk2/Slc44a4/Mapt/Sphk2/Crlf3/Dnm2/Il9r/Sema5b/Krt17/Clstn3/Hdgfl2/Foxp1/Ccn4/Sesn2/Edn1/Bcl11a/Cpne6/Exosc4/Crabp2/Fxn/Cttn/Sphk1/Rhoa/Psrc1/Mmp14/Igfbp7/Dcbld2/G6pdx/Ntn1/Sh3glb1/Nf2/Ddr1/Olfm1/Sema4a/Ptprs/Spg20/Apbb1/Nr3c1/Syt3/Tgfbr1/Mgll/Cryab/Smarca4/Dab2/Lamtor1/Enpp1/Gsk3b/Gsk3a/Trpv2/Cxcl16/Egfr/Rnd2/Extl3/Sema4d/Mag/Dnajb2/Lrp1/Atad3a/Stk11/Hyal1/Sema4b/Cfl1/Sema7a/Atp5g1/Hbegf/Sema3b/Rnf157/Anapc2/Ddx39b/Cdkn1a/Clstn1/Phb/Agt/Apoe/Map2k5",124
"BP","GO:0045666","positive regulation of neuron differentiation","130/3241","461/23210",6.60588150236848e-16,8.22960717565065e-13,4.77709536013384e-13,"Cd24a/Nap1l2/Cntn1/Eif4g2/Rap1a/Eif2b2/Serpini1/Rnf112/Caprin1/Snap91/Dpysl3/Hnrnpk/Rtn4/Cpne1/Map1b/Bcl6/Tmem30a/Irx3/Kat2b/Rit2/Nefl/Nrp1/Dab1/Dnm1l/Golga4/Neurod2/Vamp7/Pafah1b1/Lif/Actr2/Ndrg4/Ranbp1/Itgb1/Cpeb3/Qk/Dmd/Bdnf/Pten/Ptprd/Fmr1/Nfe2l2/Map2k1/Itsn2/Crp/Gata2/Pak1/Skil/Kctd11/Hoxd3/Adam17/Atp8a2/Rufy3/Rarb/Neurod1/Fes/Rab21/Tenm3/Hap1/Mapt/Tcf4/Stk24/Amigo1/Nck1/Foxa1/Cnr1/Adamts1/Mark2/Bmp7/Pak3/Lrp8/Fbxw8/Braf/Bcl11a/Tgif1/Cpne6/Plxna2/Crabp2/Fxn/Map2k2/Sphk1/Rhoa/Scn1b/Neu1/Tcf3/Ehd1/Ntn1/Sh3glb1/Psen1/Rapgef1/Iqgap1/Hspb1/Apbb1/Nr3c1/Syt3/Ltk/Camk1d/Cux1/Etv5/Tle6/Ntrk2/Shank3/Gsk3b/Fyn/Trpv2/Rnd2/Sema4d/Kdm1a/Gdpd5/Lrp1/Ppp2r5b/Stk11/Mapk8ip3/Mapkapk5/Arhgef2/Dynlt1b/Grn/Cfl1/Sema7a/Mif/Atp5g1/Eef1a1/Ache/Rnf157/Anapc2/Ptprf/Pacsin1/Agt/Timp2/Apoe/Mmd2",130
"BP","GO:0070997","neuron death","118/3241","405/23210",1.1027742335595e-15,1.14486345014036e-12,6.64566577592437e-13,"App/Npm1/Snx6/Bcl2l11/Ppargc1a/Retreg1/Cdc42/Hif1a/Hsph1/Fbxw7/Atf2/Nefl/Ctnnb1/Ghr/Xiap/Vps35/Nrp1/Rilpl1/Hspd1/Nae1/Thrb/Btbd10/Cd200/Jak2/Sod2/Bdnf/Fmr1/Mapk8/Casp2/Ube2m/Egln3/Egln1/Cdk5/Map2k7/Star/Tsc1/Lancl1/Adora2a/Cx3cr1/Bad/Pdpk1/Cdk5r1/Fcgr2b/Foxo3/Map3k11/Stat3/Mapt/Tnf/Csf1/Daxx/Pak3/Ralbp1/Usp53/Creb1/Csf3/Braf/Il10/Trim2/Atf4/Rhoa/Egln2/Hrk/Htt/G6pdx/Sct/Coro1a/Hdac1/Ppp5c/Pm20d1/Psen1/Agrn/Grin1/Tnfrsf1a/Nqo2/Msh2/Pawr/Chl1/Srpk2/Nr3c1/Gpi1/Gfer/Arrb2/Nes/Cln3/Ntrk2/Hipk2/Crlf1/Gapdh/Gsk3b/Fyn/Clu/Gsk3a/Gba/Mag/Ddit3/Nsmf/Lrp1/Park7/C1qa/Stxbp1/Mcl1/Fis1/Dtnbp1/Grn/Tmem259/Atp5g1/Gpx1/Smo/Ache/Erbb3/Ptprf/Prdx2/Agt/Aars/Apoe/Mt1/Tyrobp/Ctsz",118
"BP","GO:0043523","regulation of neuron apoptotic process","87/3241","264/23210",2.61870105307113e-15,2.33026983708287e-12,1.35266738606005e-12,"Npm1/Snx6/Bcl2l11/Ppargc1a/Retreg1/Cdc42/Hif1a/Hsph1/Fbxw7/Atf2/Nefl/Ctnnb1/Xiap/Nrp1/Hspd1/Nae1/Jak2/Sod2/Bdnf/Fmr1/Mapk8/Casp2/Ube2m/Egln3/Cdk5/Map2k7/Star/Lancl1/Adora2a/Cx3cr1/Pdpk1/Cdk5r1/Foxo3/Map3k11/Tnf/Pak3/Ralbp1/Braf/Trim2/Atf4/Rhoa/Egln2/Hrk/Htt/G6pdx/Sct/Coro1a/Hdac1/Psen1/Agrn/Grin1/Tnfrsf1a/Nqo2/Msh2/Pawr/Chl1/Srpk2/Nr3c1/Gpi1/Arrb2/Nes/Cln3/Ntrk2/Hipk2/Crlf1/Gsk3b/Fyn/Gsk3a/Mag/Ddit3/Nsmf/Lrp1/Park7/Stxbp1/Mcl1/Fis1/Grn/Smo/Erbb3/Ptprf/Prdx2/Agt/Aars/Apoe/Mt1/Tyrobp/Ctsz",87
"BP","GO:0009161","ribonucleoside monophosphate metabolic process","89/3241","276/23210",5.47837177496043e-15,4.26559722327856e-12,2.47607987460382e-12,"Atp1b1/App/Atp6v1a/Cycs/Uqcrb/Ola1/Paics/Ppargc1a/Hif1a/Dnajc15/Hprt/Atp5g3/Dnm1l/Ndufv2/Ppif/Cox5a/Sdhd/Mtch2/Bdnf/Slc25a33/Atp5h/Foxk2/Nudt4/Map2k1/Atp5pb/Cox7c/Pgk1/Cox5b/Pfkfb2/Nt5c2/Sdhc/Prps2/Aprt/Enpp3/Nudt11/Nudt10/Gart/Bad/Atp5k/Bpgm/Stat3/Ak1/Ins2/Sphk2/Pde2a/Uck2/Atp5l/Fxn/Abcd1/Uqcc3/Rhoa/Ak4/Shmt2/Trem2/Eif6/Ldha/Psen1/Impdh2/Msh2/Cbfa2t3/Cyc1/Gpi1/Aldoa/Ndufs8/Nudt9/Enpp1/Gapdh/Zbtb20/Pfkm/Uqcrc1/Eno1b/Cox6a1/Ak3/Fam20c/Park7/Nupr1/Atp5d/Atp1a2/Atp5e/Atp5g2/Pkm/Mif/Atp5g1/Adpgk/Ndufv1/Cox7a1/Aldoc/Myh7/Tspo",89
"BP","GO:0009167","purine ribonucleoside monophosphate metabolic process","88/3241","272/23210",6.24918753856802e-15,4.32513213086002e-12,2.51063850233698e-12,"Atp1b1/App/Atp6v1a/Cycs/Uqcrb/Ola1/Paics/Ppargc1a/Hif1a/Dnajc15/Hprt/Atp5g3/Dnm1l/Ndufv2/Ppif/Cox5a/Sdhd/Mtch2/Bdnf/Slc25a33/Atp5h/Foxk2/Nudt4/Map2k1/Atp5pb/Cox7c/Pgk1/Cox5b/Pfkfb2/Nt5c2/Sdhc/Prps2/Aprt/Enpp3/Nudt11/Nudt10/Gart/Bad/Atp5k/Bpgm/Stat3/Ak1/Ins2/Sphk2/Pde2a/Atp5l/Fxn/Abcd1/Uqcc3/Rhoa/Ak4/Shmt2/Trem2/Eif6/Ldha/Psen1/Impdh2/Msh2/Cbfa2t3/Cyc1/Gpi1/Aldoa/Ndufs8/Nudt9/Enpp1/Gapdh/Zbtb20/Pfkm/Uqcrc1/Eno1b/Cox6a1/Ak3/Fam20c/Park7/Nupr1/Atp5d/Atp1a2/Atp5e/Atp5g2/Pkm/Mif/Atp5g1/Adpgk/Ndufv1/Cox7a1/Aldoc/Myh7/Tspo",88
"BP","GO:0009126","purine nucleoside monophosphate metabolic process","88/3241","273/23210",7.97521726867276e-15,4.65595292829686e-12,2.70267227293385e-12,"Atp1b1/App/Atp6v1a/Cycs/Uqcrb/Ola1/Paics/Ppargc1a/Hif1a/Dnajc15/Hprt/Atp5g3/Dnm1l/Ndufv2/Ppif/Cox5a/Sdhd/Mtch2/Bdnf/Slc25a33/Atp5h/Foxk2/Nudt4/Map2k1/Atp5pb/Cox7c/Pgk1/Cox5b/Pfkfb2/Nt5c2/Sdhc/Prps2/Aprt/Enpp3/Nudt11/Nudt10/Gart/Bad/Atp5k/Bpgm/Stat3/Ak1/Ins2/Sphk2/Pde2a/Atp5l/Fxn/Abcd1/Uqcc3/Rhoa/Ak4/Shmt2/Trem2/Eif6/Ldha/Psen1/Impdh2/Msh2/Cbfa2t3/Cyc1/Gpi1/Aldoa/Ndufs8/Nudt9/Enpp1/Gapdh/Zbtb20/Pfkm/Uqcrc1/Eno1b/Cox6a1/Ak3/Fam20c/Park7/Nupr1/Atp5d/Atp1a2/Atp5e/Atp5g2/Pkm/Mif/Atp5g1/Adpgk/Ndufv1/Cox7a1/Aldoc/Myh7/Tspo",88
