"PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1415796_at","Dazap2","23994","DAZ associated protein 2",1.066531782216,5.26830275934926,4.77408934022998,0.000194382094341371,0.0438960285389606,0.896156049846049
"1415820_x_at","Nono","53610","non-POU-domain-containing, octamer binding protein",1.32968033886165,5.14393352589533,5.33387416009632,6.2058498511351e-05,0.0412981055093479,1.9235931807053
"1416300_a_at","Slc25a3","18674","solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 3",1.81421161024517,8.47978778294505,4.90498862714316,0.000148374631456504,0.0438960285389606,1.14009073140792
"1417133_at","Pmp22","18858","peripheral myelin protein 22",2.1967062228139,6.65235007999408,4.75547069478445,0.000202023429704559,0.0438960285389606,0.861292898575121
"1418273_a_at","Rpl30","19946","ribosomal protein L30",2.19694677369137,6.28639141574306,4.73347868703146,0.000211446454833415,0.0438960285389606,0.820061400985841
"1418273_a_at","Gm5481","433003","ribosomal protein L30 pseudogene",2.19694677369137,6.28639141574306,4.73347868703146,0.000211446454833415,0.0438960285389606,0.820061400985841
"1418273_a_at","Gm6109","619883","predicted gene 6109",2.19694677369137,6.28639141574306,4.73347868703146,0.000211446454833415,0.0438960285389606,0.820061400985841
"1418273_a_at","Gm6570","625281","predicted gene 6570",2.19694677369137,6.28639141574306,4.73347868703146,0.000211446454833415,0.0438960285389606,0.820061400985841
"1418273_a_at","Gm7429","664969","predicted pseudogene 7429",2.19694677369137,6.28639141574306,4.73347868703146,0.000211446454833415,0.0438960285389606,0.820061400985841
"1418273_a_at","Gm12191","666899","ribosomal protein L30 pseudogene",2.19694677369137,6.28639141574306,4.73347868703146,0.000211446454833415,0.0438960285389606,0.820061400985841
"1419246_s_at","Rab14","68365","RAB14, member RAS oncogene family",2.04877652954789,6.23687710503622,4.62149007335886,0.00026689079753557,0.0494973047954082,0.609258442453812
"1419663_at","Ogn","18295","osteoglycin",2.75859429008244,4.00591030519534,4.97773076283827,0.000127795662648266,0.0438960285389606,1.27472549553021
"1420196_s_at","Tbc1d14","100855","TBC1 domain family, member 14",1.667956442374,5.35334763018738,4.82051405566974,0.000176590816823426,0.0438960285389606,0.982907609637865
"1421772_a_at","Cox7a2l","20463","cytochrome c oxidase subunit 7A2 like",1.81790383383702,7.15537466086167,5.44133329687262,5.00537345425179e-05,0.0390071488661176,2.11580918439573
"1422241_a_at","Ndufa1","54405","NADH:ubiquinone oxidoreductase subunit A1",1.53689249863639,9.16923921762033,5.07803881067931,0.000104115300910676,0.0436243110815732,1.45924795793649
"1423095_s_at","Crbn","58799","cereblon",2.40789899763505,5.05897126213024,5.5070751827628,4.39162596793408e-05,0.038217280442491,2.23254929411424
"1423798_a_at","Eif1","20918","eukaryotic translation initiation factor 1",1.87187246039155,6.51167587791801,4.77794361121919,0.000192837560791894,0.0438960285389606,0.903368052152395
"1423883_at","Acsl1","14081","acyl-CoA synthetase long-chain family member 1",1.59270260189737,4.2459015947591,4.81121625551825,0.0001800154086098,0.0438960285389606,0.965553845696384
"1424071_s_at","Ice1","218333","interactor of little elongation complex ELL subunit 1",1.29058251607527,4.28880106706306,4.88950322966583,0.000153177659549514,0.0438960285389606,1.11134289597403
"1424251_a_at","Hnrnpdl","50926","heterogeneous nuclear ribonucleoprotein D-like",2.08753297704611,7.55474994501313,5.66794153145769,3.19608639641994e-05,0.0337341575392382,2.51540399040731
"1426371_at","Far1","67420","fatty acyl CoA reductase 1",1.26557939124535,1.97632421758206,4.82261933356878,0.000175824701504461,0.0438960285389606,0.986835535796862
"1432263_a_at","Cox7a2l","20463","cytochrome c oxidase subunit 7A2 like",1.70437223951463,6.41535051178198,4.97001267755308,0.000129832768647799,0.0438960285389606,1.26047271967137
"1433603_at","Ndufs6","407785","NADH:ubiquinone oxidoreductase core subunit S6",1.34891216529099,6.27832246468525,5.81059050048921,2.41801194065454e-05,0.0337341575392382,2.76282696743573
"1433654_at","Oga","76055","O-GlcNAcase",1.98446413400855,7.17847721862044,5.42491899612453,5.17199003793657e-05,0.0390071488661176,2.08655981732711
"1433924_at","Peg3","18616","paternally expressed 3",2.28937600362002,7.81323614091565,4.83699739452494,0.000170682688048093,0.0438960285389606,1.01364711042791
"1434435_s_at","Cox17","12856","cytochrome c oxidase assembly protein 17, copper chaperone",1.62366739580835,6.67060873782808,5.61056836550926,3.57827181535277e-05,0.0337341575392382,2.41498469026336
"1434853_x_at","Mkrn1","54484","makorin, ring finger protein, 1",1.90427529803509,4.49213943306773,4.73259098950689,0.000211836116419732,0.0438960285389606,0.818395942604902
"1434875_a_at","Hmgn3","94353","high mobility group nucleosomal binding domain 3",1.4426874435371,4.28110161931415,5.1581252508269,8.84730552803088e-05,0.0434300166532414,1.60559628695041
"1434888_a_at","Matr3","17184","matrin 3",2.96604909032622,5.41988268153728,4.765890764685,0.000197709779695033,0.0438960285389606,0.880809317184622
"1434935_at","Aak1","269774","AP2 associated kinase 1",1.86891384032448,6.34152115315852,6.07735166303034,1.44552116069239e-05,0.0337341575392382,3.2167188026381
"1435112_a_at","Atp5h","71679","ATP synthase, H+ transporting, mitochondrial F0 complex, subunit D",1.4457887133201,9.22898889011643,5.7724452316124,2.60461754782676e-05,0.0337341575392382,2.69698174628405
"1435362_at","Foxj3","230700","forkhead box J3",1.63441866160673,4.64397330369653,4.67549452884822,0.000238506128221284,0.0473371899748664,0.711086989813455
"1435534_a_at","Tomm20","67952","translocase of outer mitochondrial membrane 20",2.09520446448781,4.79330411519177,4.93892237747876,0.000138382015106368,0.0438960285389606,1.20298120932876
"1435791_x_at","Rpl17","319195","ribosomal protein L17",2.25684116751313,7.80570111730974,5.69081329650343,3.05572639500297e-05,0.0337341575392382,2.55529201407382
"1435791_x_at","Gm10362","100040929","ribosomal protein L17 pseudogene",2.25684116751313,7.80570111730974,5.69081329650343,3.05572639500297e-05,0.0337341575392382,2.55529201407382
"1435791_x_at","Rpl17-ps10","100042880","ribosomal protein L17, pseudogene 10",2.25684116751313,7.80570111730974,5.69081329650343,3.05572639500297e-05,0.0337341575392382,2.55529201407382
"1435791_x_at","Rpl17-ps9","100043872","ribosomal protein L17, pseudogene 9",2.25684116751313,7.80570111730974,5.69081329650343,3.05572639500297e-05,0.0337341575392382,2.55529201407382
"1436451_a_at","Tmed2","56334","transmembrane p24 trafficking protein 2",2.30879696133135,6.64638520025292,6.34058207839689,8.78278075804023e-06,0.0337341575392382,3.65311647649653
"1436451_a_at","Gm10698","100862175","transmembrane emp24 domain trafficking protein 2 pseudogene",2.30879696133135,6.64638520025292,6.34058207839689,8.78278075804023e-06,0.0337341575392382,3.65311647649653
"1436452_x_at","Tmed2","56334","transmembrane p24 trafficking protein 2",1.19945681495104,6.32619010355448,5.28149198381433,6.89502579885693e-05,0.0413366972681726,1.82927807752322
"1436452_x_at","Gm10698","100862175","transmembrane emp24 domain trafficking protein 2 pseudogene",1.19945681495104,6.32619010355448,5.28149198381433,6.89502579885693e-05,0.0413366972681726,1.82927807752322
"1437327_x_at","Enoph1","67870","enolase-phosphatase 1",1.53285101653068,6.0908188712515,5.17955857644654,8.47117362801621e-05,0.0434300166532414,1.64461257054963
"1437690_x_at","Csnk1d","104318","casein kinase 1, delta",2.12000989073086,7.90275663897763,6.05301825882663,1.51437687909083e-05,0.0337341575392382,3.17579780003656
"1438171_x_at","Mettl9","59052","methyltransferase like 9",1.72774576044426,4.23309982178905,4.7435760241574,0.000207065404315682,0.0438960285389606,0.838999212821918
"1438318_x_at","Ngdn","68966","neuroguidin, EIF4E binding protein",1.39028394577475,6.78065174482927,4.65821811545411,0.000247234487008237,0.047406165280071,0.678545696326419
"1439257_x_at","Rpn1","103963","ribophorin I",2.68253209562101,5.80572631813811,5.72061509849382,2.88233965171123e-05,0.0337341575392382,2.60714200091751
"1439271_x_at","Ik","24010","IK cytokine",1.63259755115794,6.20700101959086,5.04706350098538,0.00011090373824866,0.0438960285389606,1.40241001549925
"1448283_a_at","Uba2","50995","ubiquitin-like modifier activating enzyme 2",2.56238333829467,5.13385410214147,4.72902754612313,0.000213407722941999,0.0438960285389606,0.811709462775122
"1448358_s_at","Snrpg","68011","small nuclear ribonucleoprotein polypeptide G",1.39092809776578,5.61179864065084,4.95997916193512,0.000132530920772525,0.0438960285389606,1.24193256580861
"1448391_at","Rab9","56382","RAB9, member RAS oncogene family",1.46687558299931,3.89635377601464,5.27808948853301,6.9424312569193e-05,0.0413366972681726,1.82313802610315
"1448504_a_at","Cbx3","12417","chromobox 3",1.54292774860004,7.00418101964325,5.21432996441729,7.89559193949059e-05,0.0425346817197415,1.7077715928757
"1448610_a_at","Sod2","20656","superoxide dismutase 2, mitochondrial",1.42768095217367,6.70140102110838,5.72524523615263,2.85632872404242e-05,0.0337341575392382,2.61518501893192
"1450084_s_at","Ivns1abp","117198","influenza virus NS1A binding protein",2.28430437131156,3.83260410013381,5.02535638504883,0.000115930549536416,0.0438960285389606,1.36250208945969
"1452774_at","Hnrnpa3","229279","heterogeneous nuclear ribonucleoprotein A3",1.41022312422843,6.55464870661685,5.11804858804873,9.59736954239401e-05,0.0434300166532414,1.53247115586887
"1452774_at","Gm6793","627828","heterogeneous nuclear ribonucleoprotein A3 pseudogene",1.41022312422843,6.55464870661685,5.11804858804873,9.59736954239401e-05,0.0434300166532414,1.53247115586887
"1454641_at","Cggbp1","106143","CGG triplet repeat binding protein 1",1.16280372280874,5.16701488981661,4.66252971338593,0.000245026080295202,0.047406165280071,0.686669941751703
"1454697_at","Sec62","69276","SEC62 homolog (S. cerevisiae)",1.60996534649899,5.28170885889937,4.82432788954132,0.000175205456593241,0.0438960285389606,0.990022884479966
"1454793_x_at","Ddx5","13207","DEAD (Asp-Glu-Ala-Asp) box polypeptide 5",1.77218868328915,4.78978451932642,4.82239735916766,0.00017590531771844,0.0438960285389606,0.986421411836334
"1455222_a_at","Ubp1","22221","upstream binding protein 1",1.14027705167671,4.79614505308753,4.69715754467997,0.000228004821172641,0.0460610453915372,0.751844216213946
"1455462_at","Adcy2","210044","adenylate cyclase 2",1.00662559722764,5.64623695933672,4.88271836947041,0.00015533201977923,0.0438960285389606,1.09873771180158
"1455875_x_at","Tm9sf2","68059","transmembrane 9 superfamily member 2",1.86846662543302,7.09817050498083,4.8792407958691,0.000156448247915713,0.0438960285389606,1.09227471558866
"1455897_x_at","Hmgn1","15312","high mobility group nucleosomal binding domain 1",2.27879553749989,6.46246412156122,5.38415485554174,5.61097416961538e-05,0.0396730942380368,2.01374582745499
"1455968_x_at","Tmed2","56334","transmembrane p24 trafficking protein 2",1.61083448713563,7.61919380978147,5.13101215325497,9.34784693300032e-05,0.0434300166532414,1.55614917705803
"1455968_x_at","Gm10698","100862175","transmembrane emp24 domain trafficking protein 2 pseudogene",1.61083448713563,7.61919380978147,5.13101215325497,9.34784693300032e-05,0.0434300166532414,1.55614917705803
"1456174_x_at","Ndrg1","17988","N-myc downstream regulated gene 1",2.86284233858452,6.78564911381974,7.65316390903663,8.42807993331825e-07,0.00953468682856294,5.65601693009411
"1456438_x_at","Rpn1","103963","ribophorin I",2.34063338776173,5.46853492944789,4.77049387573532,0.000195834328888089,0.0438960285389606,0.889426747716519
"1460656_a_at","Sft2d1","106489","SFT2 domain containing 1",1.36695258421124,4.40210924467442,5.62219334830815,3.49718739971306e-05,0.0337341575392382,2.43537328813499
