"PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1415672_at","Golga7","57437","golgi autoantigen, golgin subfamily a, 7",1.72727864888527,4.72838393076838,3.45081871880414,0.00319345383032452,0.0171627283527132,-1.96711798763503
"1415688_at","Ube2g1","67128","ubiquitin-conjugating enzyme E2G 1",1.2575934851043,5.05777710288108,4.65997892729648,0.000246330150343746,0.00341511395936127,0.52731875810683
"1415695_at","Psma1","26440","proteasome (prosome, macropain) subunit, alpha type 1",1.20608630079371,2.64638588802782,3.15380332507368,0.00600572449952643,0.0259918750050278,-2.57309798772356
"1415707_at","Anapc2","99152","anaphase promoting complex subunit 2",-1.15559629924498,5.18711712395017,-5.41815796082643,5.24227278800519e-05,0.00138565028155847,2.0447419359526
"1415716_a_at","Rps27","57294","ribosomal protein S27",-2.25920058276054,8.97332900384452,-4.83199251306381,0.000172454872679379,0.00270757614038219,0.876760567838883
"1415716_a_at","Rps27rt","100043813","ribosomal protein S27, retrogene",-2.25920058276054,8.97332900384452,-4.83199251306381,0.000172454872679379,0.00270757614038219,0.876760567838883
"1415727_at","Naxe","246703","NAD(P)HX epimerase",1.16423677801707,5.14083263995885,4.33082432920263,0.000490965705004158,0.0052672932842101,-0.147706921966238
"1415743_at","Hdac5","15184","histone deacetylase 5",-1.41514597015043,3.41079440729419,-6.31397726182344,9.23245037086325e-06,0.000553687934804243,3.74533236622747
"1415747_s_at","Riok3","66878","RIO kinase 3",1.35649005959369,5.23257522886329,4.14665759415224,0.000724738088055591,0.00678722019054048,-0.528038587925498
"1415752_at","BC031181","407819","cDNA sequence BC031181",1.09858845661981,5.64435266934494,6.15479185190443,1.24720997518787e-05,0.000629896716486623,3.45135139962172
"1415766_at","Sec22b","20333","SEC22 homolog B, vesicle trafficking protein",1.10008064870786,2.87018994138748,3.83138420704688,0.00141734887885508,0.0102373712779947,-1.1810737326927
"1415775_at","Rbbp7","245688","retinoblastoma binding protein 7, chromatin remodeling factor",1.10770040374656,7.25612063580872,3.73163413600246,0.00175356722184911,0.0116352527746504,-1.38764517683969
"1415783_at","Vps35","65114","VPS35 retromer complex component",1.68109028761283,5.33614063638604,4.13626409369189,0.000740888407535103,0.00687585771488484,-0.549540544023502
"1415788_at","Ublcp1","79560","ubiquitin-like domain containing CTD phosphatase 1",1.75385959840218,4.38404941292262,3.8643090428933,0.00132124334724837,0.00984017510692616,-1.112855322977
"1415794_a_at","Spin1","20729","spindlin 1",1.1038073400502,2.67856319032312,2.72769981422746,0.0146702196680486,0.0475133681948565,-3.41864021179119
"1415821_at","Nptn","20320","neuroplastin",2.50091613373042,5.14437995077962,3.21312183653282,0.00529604393041712,0.0239273741952112,-2.45289299718897
